Gender,Age,Ethnicity,Religion,Parents Work,Siblings,Housing,Current GPA,Desired GPA,Absences,Video Games,Game Hours,Game Genre,Game With Friends,Game Timing,Gaming Stopped,Main Reason Started Gaming,Part-Time,Part-Time Hours,Job Sector,Days Of Week Worked,CCAs Participated,No. Of CCAs Participated,CCA Names,CCA Role,CCA Hours,School Satisfaction Level,Satisfied Area,Unsatisfied Area,Support Level,Sense Of Belonging,Future Planned,Career Option 1,Career Option 2,Career Option 3,Interested Career 1,Interested Career 2,Interested Career 3,Skill 1,Skill 2,Skill 3
Male,19,Chinese,Free thinker,Father Only,2,HDB,3.87,3.9,1,Yes,20 - 29,Action,Yes,0000,No,Entertainment,No,Don't Work,Don't Work,Don't Work,Yes,1,ALC (ADVENTURE LEARNING CLUB),Student Advisor,6,5,Results,Study Life,6,No,Planned,"Engineer
Designer
Sign On After Uni",Nan,Nan,Nan,Nan,Nan,Analytics ,Leadership,3D Visualisation
Male,19,Malay,Islam,Father Only,3,HDB,2.5,3.3,1,Yes,30 - 39,Strategy,Yes,1800,Yes,Entertainment,Yes,11 - 15,Food & Beverage,"Saturday, Sunday",Yes,1,Magic,Leader/President,3,7,Social Life,Results,6,Yes,Planned,Nsf Regular,Policeman,Nutritionist,Nan,Nan,Nan,Precision,Leadership,Communication
Male,20,Chinese,Buddhist,Mother Only,3,HDB,2.14,2.5,5,No,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Yes,> 35,Food & Beverage,"Monday, Wednesday, Friday, Saturday, Sunday",Yes,1,Cosplay/origami club,Member,1,7,None,None,7,Yes,Undecided,Nan,Nan,Nan,Engineer,Chef,Shop Manager,Quick To Learn,Willing Learn,Patience
Male,20,Chinese,Christian,Mother Only,0,HDB,3.22,3.7,0,Yes,20 - 29,Action,Yes,2000,No,To make new friends,No,Don't Work,Don't Work,Don't Work,No,Don't Have CCA,Don't Have CCA,Don't Have CCA,Don't Have CCA,7,Social Life,Classmates,7,Yes,Not yet,Nan,Nan,Nan,Web Developer,Ux Design,User Experience Engineer,Coding Knowledge,Patience,Determination
Female,18,Chinese,Buddhist,Both Works,1,Condominium,3.28,3.7,0,Yes,10 - 19,Adventure,Yes,2200,No,Entertainment,No,Don't Work,Don't Work,Don't Work,Yes,2,"Service Learning Club, Globalites",Member,1,8,Courses,Results,7,Yes,Not yet,Nan,Nan,Nan,Ux Designer,Graphic Designer,Writer,Digital Skills,Technology,Story Writing
Female,18,Indian,Hindu,Both Works,2,HDB,3.54,3.85,0,Yes,< 9,Other,No,1800,No,Entertainment,No,Don't Work,Don't Work,Don't Work,Yes,3,"NYAA IG, SOI Club, Pharmarchuhdoi i forgot",EXCO,14,7,Social Life,Results,7,Yes,Not yet,Nan,Nan,Nan,It,Nan,Nan,Nan,Nan,Nan
Male,20,Chinese,Free thinker,Both Works,1,Condominium,2.24,4,2,Yes,> 84,Strategy,Yes,0700,No,Escape from reality,No,Don't Work,Don't Work,Don't Work,No,Don't Have CCA,Don't Have CCA,Don't Have CCA,Don't Have CCA,3,Social Life,Lecturers,1,No,Undecided,Nan,Nan,Nan,Astronaut ,Ceo Of Amazon ,Hawker,Decisive Thinking ,Charisma ,Talent
Male,20,Chinese,Buddhist,Both doesn't work,3,HDB,2.7,3.5,0,Yes,> 84,Action,Yes,2100,No,Entertainment,Yes,> 35,Retail,Saturday,No,Don't Have CCA,Don't Have CCA,Don't Have CCA,Don't Have CCA,6,None,Study Life,7,Yes,Not yet,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
Male,20,Chinese,Free thinker,Both Works,1,Condominium,3.65,4,1,Yes,< 9,Action,Yes,2100,No,Entertainment,No,Don't Work,Don't Work,Don't Work,Yes,1,Mechanical and Aeronautical Engineering Club,EXCO,2,8,Social Life,Study Life,6,Yes,Not yet,Nan,Nan,Nan,Ceo Banker Engineer,Nan,Nan,Leadership,Teamwork,Math
Male,18,Malay,Islam,Both Works,1,HDB,2.21,2.9,4,Yes,40 - 49,Action,Yes,2200,Yes,Entertainment,No,Don't Work,Don't Work,Don't Work,No,Don't Have CCA,Don't Have CCA,Don't Have CCA,Don't Have CCA,7,Classmates,Results,9,Yes,Undecided,Nan,Nan,Nan,Lab Technician,Chemical,Pilot,Precision,Time Management,Nan
